OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
3064,,SRA,1,Moderate,SRA Moderate,1071900,13380
3065,,SRA,1,Moderate,SRA Moderate,1779300,10380
3066,,SRA,1,Moderate,SRA Moderate,1295.37926864624,167.291636165456
3067,,SRA,1,Moderate,SRA Moderate,1824300,11400
3068,,SRA,1,Moderate,SRA Moderate,98100,1980
3069,,SRA,1,Moderate,SRA Moderate,23021.3528842926,1691.97138693855
3070,,SRA,1,Moderate,SRA Moderate,269.396625518799,79.709473621288
3071,,SRA,1,Moderate,SRA Moderate,406.662878036499,95.3701419179857
3072,,SRA,1,Moderate,SRA Moderate,5837.54237174988,472.49048769904
3073,,SRA,1,Moderate,SRA Moderate,63.4251880645752,43.0328921044217
3074,,SRA,1,Moderate,SRA Moderate,2226600,15000
3075,,SRA,1,Moderate,SRA Moderate,1084500,9900
3076,,SRA,1,Moderate,SRA Moderate,15480332.2628088,32439.5446176469
3077,,SRA,1,Moderate,SRA Moderate,108622.467162132,2227.48955317878
3078,,SRA,1,Moderate,SRA Moderate,15760.7780418396,822.247587566108
3079,,SRA,1,Moderate,SRA Moderate,638.746500015259,104.878921290137
3080,,SRA,1,Moderate,SRA Moderate,133.928140640259,56.6027782849814
3081,,SRA,1,Moderate,SRA Moderate,640690.689212799,9190.6662543296
3082,,SRA,1,Moderate,SRA Moderate,1160627.33732796,11520.8705248582
3083,,SRA,1,Moderate,SRA Moderate,7405.97861289978,402.47536361472
3084,,SRA,1,Moderate,SRA Moderate,921465.466882706,5552.68584524249
3085,,SRA,1,Moderate,SRA Moderate,16208100,67440
3086,,SRA,1,Moderate,SRA Moderate,62910982.4590759,130826.5398193
3087,,SRA,1,Moderate,SRA Moderate,1657800,13020
3088,,SRA,1,Moderate,SRA Moderate,462600,4200
3089,,SRA,1,Moderate,SRA Moderate,28297.5214099884,875.991512983731
3090,,SRA,1,Moderate,SRA Moderate,196069.569278717,3000.05805534474
3091,,SRA,1,Moderate,SRA Moderate,7645.4832649231,402.120343326037
3092,,SRA,1,Moderate,SRA Moderate,9649800,48540
3093,,SRA,1,Moderate,SRA Moderate,3474043.64397812,12353.8942041821
3094,,SRA,1,Moderate,SRA Moderate,1534500,7440
3095,,SRA,1,Moderate,SRA Moderate,32087.6087169647,1183.84770419153
3096,,SRA,1,Moderate,SRA Moderate,128.534564971924,54.4089082625765
3097,,SRA,1,Moderate,SRA Moderate,609.317367553711,119.874180588601
3098,,SRA,1,Moderate,SRA Moderate,313.04296875,87.1104726090072
3099,,SRA,1,Moderate,SRA Moderate,55270.0107116699,1346.43432220032
3100,,SRA,1,Moderate,SRA Moderate,16.041805267334,16.0328725267945
3101,,SRA,1,Moderate,SRA Moderate,1906200,16380
3102,,SRA,1,Moderate,SRA Moderate,14215500,72900
3103,,SRA,1,Moderate,SRA Moderate,52787.0683479309,1382.89935440998
3104,,SRA,1,Moderate,SRA Moderate,4181400,23460
3105,,SRA,1,Moderate,SRA Moderate,4687935.97293472,22178.5522670246
3106,,SRA,1,Moderate,SRA Moderate,815400,9300
3107,,SRA,1,Moderate,SRA Moderate,14597.1707248688,918.324840236152
3108,,SRA,1,Moderate,SRA Moderate,483849.524232864,5137.2239093817
3109,,SRA,1,Moderate,SRA Moderate,57.2578182220459,51.8554459905321
3110,,SRA,1,Moderate,SRA Moderate,738.160250663757,186.29054421762
3111,,SRA,1,Moderate,SRA Moderate,601.045499801636,100.848207332479
3112,,SRA,1,Moderate,SRA Moderate,27142.6387481689,1163.89910522106
3113,,SRA,1,Moderate,SRA Moderate,865108.738773346,5932.97134837034
3114,,SRA,1,Moderate,SRA Moderate,114.039078712463,71.1282472985942
3115,,SRA,1,Moderate,SRA Moderate,10.5125999450684,21.1548582098506
3116,,SRA,1,Moderate,SRA Moderate,1523.96168231964,229.693605990633
3117,,SRA,1,Moderate,SRA Moderate,2092.33266830444,232.835141238072
3118,,SRA,1,Moderate,SRA Moderate,107.045413970947,49.7886881414993
3119,,SRA,1,Moderate,SRA Moderate,83.3849363327026,44.0921785822283
3120,,SRA,1,Moderate,SRA Moderate,1744200,10380
3121,,SRA,1,Moderate,SRA Moderate,47133272.3612785,58604.6363903772
3122,,SRA,1,Moderate,SRA Moderate,1181999.31201935,12347.6055838203
3123,,SRA,1,Moderate,SRA Moderate,4402800,33720
3124,,SRA,1,Moderate,SRA Moderate,840240.696650505,5935.85128950853
3125,,SRA,1,Moderate,SRA Moderate,176.348789215088,158.389045653391
3126,,SRA,1,Moderate,SRA Moderate,192871.733478546,3377.24185893949
3127,,SRA,1,Moderate,SRA Moderate,9123.34166717529,491.653994861776
3128,,SRA,1,Moderate,SRA Moderate,10187.6899871826,739.991612819449
3129,,SRA,1,Moderate,SRA Moderate,1163996.64565659,10061.7127179982
3130,,SRA,1,Moderate,SRA Moderate,10262.4194412231,813.318484558344
3131,,SRA,1,Moderate,SRA Moderate,2422.33319091797,319.271019998412
3132,,SRA,1,Moderate,SRA Moderate,153.336631774902,59.9119314042653
3133,,SRA,1,Moderate,SRA Moderate,15.6045570373535,19.1388653590153
3134,,SRA,1,Moderate,SRA Moderate,0.989673614501953,4.81987491553166
3135,,SRA,1,Moderate,SRA Moderate,1835100,19320
3136,,SRA,1,Moderate,SRA Moderate,433800,5040
3137,,SRA,1,Moderate,SRA Moderate,17364.0640106201,1150.67171011962
3138,,SRA,1,Moderate,SRA Moderate,296151.434249878,3749.76839851692
3139,,SRA,1,Moderate,SRA Moderate,47.1588172912598,35.2329553596962
3140,,SRA,1,Moderate,SRA Moderate,5569.63677597046,445.235006663792
3141,,SRA,1,Moderate,SRA Moderate,260587.560484886,4100.78570862071
3142,,SRA,1,Moderate,SRA Moderate,356923.595611572,3571.31459693485
3143,,SRA,1,Moderate,SRA Moderate,2748600,13800
3144,,SRA,1,Moderate,SRA Moderate,416700,4020
3145,,SRA,1,Moderate,SRA Moderate,936900,15300
3146,,SRA,1,Moderate,SRA Moderate,63.4037590026855,46.3996559869831
3147,,SRA,1,Moderate,SRA Moderate,949500,10200
3148,,SRA,1,Moderate,SRA Moderate,475095.881065369,5733.78099364969
3149,,SRA,1,Moderate,SRA Moderate,18612054.0641489,31984.9552717643
3150,,SRA,1,Moderate,SRA Moderate,224992.793272018,3237.81120171907
3151,,SRA,1,Moderate,SRA Moderate,621.935718536377,118.638635120375
3152,,SRA,1,Moderate,SRA Moderate,109800,1800
3153,,SRA,1,Moderate,SRA Moderate,8.08058547973633,14.7237484919033
3154,,SRA,1,Moderate,SRA Moderate,99900,2520
3155,,SRA,1,Moderate,SRA Moderate,943200,10740
3156,,SRA,1,Moderate,SRA Moderate,249300,3540
3157,,SRA,1,Moderate,SRA Moderate,1499465.29653549,12562.4437805249
3158,,SRA,1,Moderate,SRA Moderate,459000,4800
3159,,SRA,1,Moderate,SRA Moderate,176400,2640
3160,,SRA,1,Moderate,SRA Moderate,193500,2640
3161,,SRA,1,Moderate,SRA Moderate,1442152.54044533,10194.1392952433
3162,,SRA,1,Moderate,SRA Moderate,2103477.07283401,13696.9640647028
3163,,SRA,1,Moderate,SRA Moderate,1120500,6960
3164,,SRA,1,Moderate,SRA Moderate,58705.1665172577,1203.19358269424
3165,,SRA,1,Moderate,SRA Moderate,810302.486094475,8075.40661283489
3166,,SRA,1,Moderate,SRA Moderate,9105637.21480942,62095.5759198901
