,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
232,90734 ,P.O. Box,San Pedro,Los Angeles,424 / 310 / 562,0,0.00%
233,90740,Standard,Seal Beach,Orange,562 / 714,"24,769",0.06%
234,90742 ,P.O. Box,Sunset Beach,Orange,714 / 562,748,0.00%
235,90743 ,P.O. Box,Surfside,Orange,714 / 562,466,0.00%
236,90744,Standard,Wilmington,Los Angeles,310 / 323 / 424 / 562 / 738,"53,074",0.13%
237,90745,Standard,Carson,Los Angeles,562,"59,937",0.15%
238,90746,Standard,Carson,Los Angeles,562,"27,147",0.07%
239,90747 ,Unique,Carson,Los Angeles,562,22,0.00%
240,90748 ,P.O. Box,Wilmington,Los Angeles,310 / 323 / 424 / 562 / 738,0,0.00%
241,90749 ,P.O. Box,Carson,Los Angeles,310 / 424,0,0.00%
242,90755,Standard,Signal Hill,Los Angeles,562,"11,923",0.03%
243,90801 ,P.O. Box,Long Beach,Los Angeles,562 / 424,0,0.00%
244,90802,Standard,Long Beach,Los Angeles,310 / 323 / 424 / 562 / 714 / 738,"41,686",0.11%
245,90803,Standard,Long Beach,Los Angeles,562,"32,192",0.08%
246,90804,Standard,Long Beach,Los Angeles,562,"39,370",0.10%
247,90805,Standard,Long Beach,Los Angeles,310 / 323 / 562 / 738,"95,350",0.24%
248,90806,Standard,Long Beach,Los Angeles,562,"41,611",0.11%
249,90807,Standard,Long Beach,Los Angeles,562 / 714 / 657,"32,412",0.08%
250,90808,Standard,Long Beach,Los Angeles,213 / 310 / 323 / 562 / 657 / 714 / 738,"39,747",0.10%
251,90809 ,P.O. Box,Long Beach,Los Angeles,562 / 424,0,0.00%
252,90810,Standard,Long Beach,Los Angeles,562,"38,529",0.10%
253,90813,Standard,Long Beach,Los Angeles,310 / 323 / 562 / 714 / 738,"54,565",0.14%
254,90814,Standard,Long Beach,Los Angeles,562,"19,042",0.05%
255,90815,Standard,Long Beach,Los Angeles,562 / 714 / 657,"41,837",0.11%
256,90822,Standard,Long Beach,Los Angeles,310 / 323 / 424 / 562 / 714 / 738,54,0.00%
257,90831,Standard,Long Beach,Los Angeles,562 / 424,0,0.00%
258,90832 ,P.O. Box,Long Beach,Los Angeles,562 / 424,0,0.00%
259,90833,Standard,Long Beach,Los Angeles,562 / 424,0,0.00%
260,90840 ,Unique,Long Beach,Los Angeles,310 / 323 / 424 / 562 / 714 / 738,8,0.00%
261,90842 ,Unique,Long Beach,Los Angeles,562 / 424,0,0.00%
262,90844 ,Unique,Long Beach,Los Angeles,310 / 323 / 562 / 714 / 738,0,0.00%
263,90846 ,Unique,Long Beach,Los Angeles,562 / 424,0,0.00%
264,90847 ,Unique,Long Beach,Los Angeles,562 / 424,0,0.00%
265,90848 ,Unique,Long Beach,Los Angeles,562 / 424,0,0.00%
266,90853 ,P.O. Box,Long Beach,Los Angeles,562 / 424,0,0.00%
267,90895 ,Unique,Carson,Los Angeles,562,0,0.00%
268,91001,Standard,Altadena,Los Angeles,323 / 626 / 738,"36,578",0.09%
269,91003 ,P.O. Box,Altadena,Los Angeles,323 / 626 / 738,0,0.00%
270,91006,Standard,Arcadia,Los Angeles,626,"31,949",0.08%
271,91007,Standard,Arcadia,Los Angeles,626,"33,804",0.09%
272,91008,Standard,Duarte,Los Angeles,626,"1,010",0.00%
273,91009 ,P.O. Box,Duarte,Los Angeles,626,0,0.00%
274,91010,Standard,Duarte,Los Angeles,626,"26,730",0.07%
275,91011,Standard,La Canada Flintridge,Los Angeles,818,"20,588",0.05%
276,91012 ,P.O. Box,La Canada Flintridge,Los Angeles,818,0,0.00%
277,91016,Standard,Monrovia,Los Angeles,626,"41,852",0.11%
278,91017 ,P.O. Box,Monrovia,Los Angeles,626,0,0.00%
279,91020,Standard,Montrose,Los Angeles,818 / 747,"8,439",0.02%
280,91021 ,P.O. Box,Montrose,Los Angeles,818 / 747,0,0.00%
281,91023 ,P.O. Box,Mount Wilson,Los Angeles,626,0,0.00%
282,91024,Standard,Sierra Madre,Los Angeles,626,"11,268",0.03%
283,91025 ,P.O. Box,Sierra Madre,Los Angeles,626,0,0.00%
284,91030,Standard,South Pasadena,Los Angeles,323 / 626 / 738,"26,927",0.07%
285,91031 ,P.O. Box,South Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
286,91040,Standard,Sunland,Los Angeles,818 / 747,"21,588",0.05%
287,91041 ,P.O. Box,Sunland,Los Angeles,818 / 747,0,0.00%
288,91042,Standard,Tujunga,Los Angeles,747 / 818,"28,036",0.07%
289,91043 ,P.O. Box,Tujunga,Los Angeles,818 / 747,0,0.00%
290,91046 ,P.O. Box,Verdugo City,Los Angeles,818 / 747,141,0.00%
291,91066 ,P.O. Box,Arcadia,Los Angeles,626,0,0.00%
292,91077 ,P.O. Box,Arcadia,Los Angeles,626,0,0.00%
293,91101,Standard,Pasadena,Los Angeles,323 / 626 / 738,"20,583",0.05%
294,91102 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
295,91103,Standard,Pasadena,Los Angeles,323 / 626 / 738,"26,887",0.07%
296,91104,Standard,Pasadena,Los Angeles,323 / 626 / 738,"34,707",0.09%
297,91105,Standard,Pasadena,Los Angeles,323 / 626 / 738,"13,869",0.04%
298,91106,Standard,Pasadena,Los Angeles,323 / 626 / 738,"24,172",0.06%
299,91107,Standard,Pasadena,Los Angeles,323 / 626 / 738,"33,729",0.09%
300,91108,Standard,San Marino,Los Angeles,626,"12,777",0.03%
301,91109 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
302,91110 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
303,91114 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
304,91115 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
305,91116 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
306,91117 ,P.O. Box,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
307,91118 ,P.O. Box,San Marino,Los Angeles,323 / 626 / 738,0,0.00%
308,91121 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
309,91123 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
310,91124 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
311,91125 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,161,0.00%
312,91126 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
