ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"95562","95562",860Z200US95562,B5,G6350,S,"42858569","856910","+40.4412005","-124.1004154",1.545455,1.000000
"92273","92273",860Z200US92273,B5,G6350,S,"8320889","14423","+32.8030209","-115.6979683",0.000000,0.000000
"92333","92333",860Z200US92333,B5,G6350,S,"26117501","214","+34.2606605","-116.9821489",3.000000,3.000000
"93420","93420",860Z200US93420,B5,G6350,S,"511339680","2982673","+35.1760107","-120.4767570",1.656716,1.000000
"96033","96033",860Z200US96033,B5,G6350,S,"374894939","222274","+40.7405730","-122.5925628",2.981481,3.000000
"95554","95554",860Z200US95554,B5,G6350,S,"84606249","631307","+40.2963843","-123.7771381",1.833333,2.000000
"92231","92231",860Z200US92231,B5,G6350,S,"177549830","0","+32.6876362","-115.5643729",0.000000,0.000000
"94118","94118",860Z200US94118,B5,G6350,S,"5193603","2120","+37.7801459","-122.4615303",0.000000,0.000000
"96069","96069",860Z200US96069,B5,G6350,S,"240518305","325754","+40.6853355","-122.0160690",2.333333,2.000000
"96071","96071",860Z200US96071,B5,G6350,S,"66781004","202325","+40.6944740","-121.4572689",3.000000,3.000000
"92020","92020",860Z200US92020,B5,G6350,S,"28790638","0","+32.7956047","-116.9697540",3.000000,3.000000
"91901","91901",860Z200US91901,B5,G6350,S,"201692264","1797136","+32.8136236","-116.7269693",2.687500,3.000000
"92010","92010",860Z200US92010,B5,G6350,S,"21362094","131091","+33.1653815","-117.2814268",3.000000,3.000000
"95717","95717",860Z200US95717,B5,G6350,S,"50517032","0","+39.1425937","-120.8426891",3.000000,3.000000
"92060","92060",860Z200US92060,B5,G6350,S,"178363014","0","+33.3503760","-116.8644434",3.000000,3.000000
"95668","95668",860Z200US95668,B5,G6350,S,"168298649","399030","+38.8275549","-121.4951816",0.000000,0.000000
"91935","91935",860Z200US91935,B5,G6350,S,"273216571","87982","+32.6943442","-116.7755144",2.555556,3.000000
"92672","92672",860Z200US92672,B5,G6350,S,"92108428","2049819","+33.3729358","-117.5209627",3.000000,3.000000
"92066","92066",860Z200US92066,B5,G6350,S,"57132566","0","+33.2154121","-116.5358340",2.400000,3.000000
"95703","95703",860Z200US95703,B5,G6350,S,"22992794","68707","+38.9890274","-120.9877751",2.000000,2.000000
"95736","95736",860Z200US95736,B5,G6350,S,"598865","0","+39.0391217","-120.9774935",2.500000,2.000000
"96150","96150",860Z200US96150,B5,G6350,S,"422599309","14431182","+38.8733198","-120.0684809",2.595745,3.000000
"92267","92267",860Z200US92267,B5,G6350,S,"109818076","11227768","+34.2972182","-114.2071049",0.000000,0.000000
"95614","95614",860Z200US95614,B5,G6350,S,"82246128","77805","+38.8862376","-120.9796991",2.312500,2.000000
"95720","95720",860Z200US95720,B5,G6350,S,"403521636","1108300","+38.8509368","-120.2512666",2.723404,3.000000
